relation,source,source_path,target,theorem
expanded_to,state_0,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_0,aime_1983_p1.json
expanded_to,state_0,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_1,aime_1983_p1.json
expanded_to,state_0,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_2,aime_1983_p1.json
expanded_to,state_0,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_3,aime_1983_p1.json
expanded_to,state_0,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_4,aime_1983_p1.json
expanded_to,state_0,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_5,aime_1983_p1.json
expanded_to,state_0,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_6,aime_1983_p1.json
expanded_to,state_0,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_7,aime_1983_p1.json
expanded_to,state_0,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_8,aime_1983_p1.json
expanded_to,state_0,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_9,aime_1983_p1.json
expanded_to,state_0,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_10,aime_1983_p1.json
expanded_to,state_0,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_11,aime_1983_p1.json
expanded_to,state_0,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_12,aime_1983_p1.json
subgoal,action_12,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,state_1,aime_1983_p1.json
expanded_to,state_1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_13,aime_1983_p1.json
expanded_to,state_1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_14,aime_1983_p1.json
expanded_to,state_1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_15,aime_1983_p1.json
expanded_to,state_1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_16,aime_1983_p1.json
expanded_to,state_1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_17,aime_1983_p1.json
expanded_to,state_1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_18,aime_1983_p1.json
expanded_to,state_1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_19,aime_1983_p1.json
expanded_to,state_1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_20,aime_1983_p1.json
expanded_to,state_1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_21,aime_1983_p1.json
expanded_to,state_1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_22,aime_1983_p1.json
expanded_to,state_1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_23,aime_1983_p1.json
expanded_to,state_1,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_24,aime_1983_p1.json
subgoal,action_12,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,state_2,aime_1983_p1.json
expanded_to,state_2,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_25,aime_1983_p1.json
expanded_to,state_2,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_26,aime_1983_p1.json
expanded_to,state_2,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_27,aime_1983_p1.json
expanded_to,state_2,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_28,aime_1983_p1.json
expanded_to,state_2,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_29,aime_1983_p1.json
expanded_to,state_2,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,action_30,aime_1983_p1.json
