Q_value,V_value,action_type,children_count,code_len,content_len,context_len,depth,expected_Q,goal,goal_hash,goal_preview,has_sorry,id,in_degree,out_degree,parent,proof_len,r_dep,r_env,source_path,status,synthetic_patch,theorem,type
,1.0,,0,0,196,124,0,,logb ↑z ↑w = 60,aa93ceab7a7c,logb ↑z ↑w = 60,True,state_0,0,16,,7,,,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,OPEN,False,aime_1983_p1.json,OR
0.24,,tactic,0,1136,1964,0,0.5,0.24,,,,False,action_0,1,0,state_0,0,0.0,0.24,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,FAILED,False,aime_1983_p1.json,AND
0.25,,tactic,0,1560,2971,0,0.5,0.25,,,,False,action_1,1,0,state_0,0,0.0,0.25,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,FAILED,False,aime_1983_p1.json,AND
0.35,,tactic,0,1162,2180,0,0.5,0.35,,,,False,action_2,1,0,state_0,0,0.0,0.35,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,FAILED,False,aime_1983_p1.json,AND
0.5789473684210527,,tactic,0,875,1702,0,0.5,0.5789473684210527,,,,False,action_3,1,0,state_0,0,0.0,0.5789473684210527,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,FAILED,False,aime_1983_p1.json,AND
0.38095238095238093,,tactic,0,798,1822,0,0.5,0.38095238095238093,,,,False,action_4,1,0,state_0,0,0.0,0.38095238095238093,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,FAILED,False,aime_1983_p1.json,AND
0.47619047619047616,,tactic,0,1124,2186,0,0.5,0.47619047619047616,,,,False,action_5,1,0,state_0,0,0.0,0.47619047619047616,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,FAILED,False,aime_1983_p1.json,AND
0.3076923076923077,,tactic,0,1364,2575,0,0.5,0.3076923076923077,,,,False,action_6,1,0,state_0,0,0.0,0.3076923076923077,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,FAILED,False,aime_1983_p1.json,AND
0.5384615384615384,,tactic,0,974,2025,0,0.5,0.5384615384615384,,,,False,action_7,1,0,state_0,0,0.0,0.5384615384615384,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,FAILED,False,aime_1983_p1.json,AND
0.4782608695652174,,tactic,0,1033,1988,0,0.5,0.4782608695652174,,,,False,action_8,1,0,state_0,0,0.0,0.4782608695652174,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,FAILED,False,aime_1983_p1.json,AND
0.391304347826087,,tactic,0,1425,2523,0,0.5,0.391304347826087,,,,False,action_9,1,0,state_0,0,0.0,0.391304347826087,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,FAILED,False,aime_1983_p1.json,AND
0.3333333333333333,,tactic,0,826,1525,0,0.5,0.3333333333333333,,,,False,action_10,1,0,state_0,0,0.0,0.3333333333333333,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,FAILED,False,aime_1983_p1.json,AND
0.2777777777777778,,tactic,0,1018,1875,0,0.5,0.2777777777777778,,,,False,action_11,1,0,state_0,0,0.0,0.2777777777777778,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,FAILED,False,aime_1983_p1.json,AND
1.0,,skeleton,9,520,1349,0,0.5,1.0,,,,True,action_12,1,9,state_0,0,0.0,1.0,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,OPEN,False,aime_1983_p1.json,AND
,1.0,,0,0,208,124,1,,1 / logb ↑x ↑w = 1 / 24,db8525b49bb7,1 / logb ↑x ↑w = 1 / 24,False,state_1,1,12,,10,,,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,SOLVED,False,aime_1983_p1.json,OR
1.0,,tactic,0,10,532,0,1.5,1.0,,,,False,action_13,1,0,state_1,0,0.0,0.0,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,SOLVED,False,aime_1983_p1.json,AND
1.0,,tactic,0,10,545,0,1.5,1.0,,,,False,action_14,1,0,state_1,0,0.0,0.0,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p1.json,SOLVED,False,aime_1983_p1.json,AND
